Date	00:00	00:10	00:20	00:30	00:40	00:50	0:00	0:10	0:20	0:30	0:40	0:50	0:00	0:10	0:20	0:30	0:40	0:50	0:00	0:10	0:20	0:30	0:40	0:50	0:00	0:10	0:20	0:30	0:40	0:50	0:00	0:10	0:20	0:30	0:40	0:50	0:00	0:10	0:20	0:30	0:40	0:50	0:00	0:10	0:20	0:30	0:40	0:50	0:00	0:10	0:20	0:30	0:40	0:50	0:00	0:10	0:20	0:30	0:40	0:50	0:00	0:10	0:20	0:30	0:40	0:50	1:00	1:10	1:20	1:30	1:40	1:50	1:00	1:10	1:20	1:30	1:40	1:50	1:00	1:10	1:20	1:30	1:40	1:50	1:00	1:10	1:20	1:30	1:40	1:50	1:00	1:10	1:20	1:30	1:40	1:50	1:00	1:10	1:20	1:30	1:40	1:50	1:00	1:10	1:20	1:30	1:40	1:50	1:00	1:10	1:20	1:30	1:40	1:50	1:00	1:10	1:20	1:30	1:40	1:50	2:00	2:10	2:20	2:30	2:40	2:50	2:00	2:10	2:20	2:30	2:40	2:50	2:00	2:10	2:20	2:30	2:40	2:50	2:00	2:10	2:20	2:30	2:40	2:50
2019/01/26	0	2	4	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	8	8	0	0	0	0	2	0	0	0	16	0	0	0	0	2	0	0	16	0	0	0	0	0	0	0	0	0	16	2	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	8	0	0	0	0	0	8	1	1	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	4	6	4	0	0	0	0	0	0	0	0	4	0	0	6	6	6	14	2	2	0	0	0	0	0	2	14	6	12	4	4	6	4	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2019/01/27	2	0	0	1	0	1	2	0	8	0	0	16	16	0	16	16	2	0	0	1	2	8	0	1	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	16	0	2	0	2	0	2	0	4	4	4	0	0	0	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	16	16	0	16	16	16	0	0	4	0	4	0	8	0	0	0	0	4	0	0	0	0
2019/01/28	10	0	0	0	4	0	0	0	26	0	0	10	0	0	0	0	0	0	0	8	2	0	0	0	0	8	0	0	0	0	0	0	2	2	0	0	2	16	0	0	0	0	0	0	10	0	0	0	0	8	0	0	0	1	1	1	0	1	1	0	2	2	3	1	2	0	0	0	0	0	0	1	3	0	0	0	0	0	0	4	0	0	0	0	0	0	4	4	6	6	1	1	0	0	14	1	5	5	5	1	9	0	0	0	0	5	1	3	5	7	13	4	0	0	0	0	0	12	0	0	0	0	4	4	0	0	1	2	1	1	0	0	0	0	0	0	0	4	4	0	4	4	5	1
2019/01/29	4	6	4	4	2	0	1	2	0	0	0	0	0	0	2	0	8	0	0	0	0	1	0	0	1	0	0	0	0	0	1	9	1	0	0	1	1	0	1	9	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	0	0	0	0	0	0	0	0	0	0	0	8	0	0	6	0	2	10	0	0	0	2	0	6	0	0	0	0	0	0
2019/01/30	0	16	20	0	4	2	0	16	0	2	0	0	0	0	0	2	0	0	16	2	0	0	8	0	8	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	7	5	1	0	0	0	0	16	16	0	0	0	0	8	0	0	0	0	4	0	0	0	0	8	2	2	0	0	8	0	0	2	16	0	0	22	18	16	0	16	0	10	12	4	4	0	4	5	5	7	5	5	1	1	8	1	15	13	0	16	20	0	4	0	16	16	2	2	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0
2019/01/31	2	0	0	2	0	0	0	0	16	0	0	0	16	0	0	0	0	0	0	0	2	2	0	2	3	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	1	3	3	3	0	0	8	0	4	4	0	0	2	0	2	0	4	4	6	0	0	0	0	0	0	0	4	4	0	0	0	0	2	0	0	0	10	2	8	0	0	0	6	2	0	0	0	0	18	18	1	1	3	3	9	0	0	8	3	6	12	7	14	6	4	2	0	0	0	0	0	0	0	0	2	16	0	4	0	0	0	2	2	2
2019/02/01	16	16	24	16	0	0	0	8	0	0	0	0	10	2	2	0	0	0	16	16	16	16	0	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	2	0	0	1	1	1	2	3	1	1	1	2	2	0	0	0	0	0	0	0	0	9	1	2	2	8	8	2	2	1	1	0	0	0	1	1	1	9	11	0	0	9	9	9	1	0	12	10	0	0	0	1	9	1	9	11	9	9	9	11	1	0	0	0	0	0	0	0	0	0	9	1	1	3	0	1	1	3	1	0	0	0	9	1	0	0	0	3	8	0	0	0	8	0	0	0
2019/02/02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	1	1	0	0	0	1	8	0	1	1	0	0	0	0	1	1	9	0	0	8	8	9	0	0	0	0	9	1	9	0	0	1	0	0	0	9	1	1	10	0	10	0	0	0	1	9	8	8	0	9	11	3	0	0	0	0	0	12	8	1	0	0	1	1	0	4	4	3	1	1	1	9	7	0	0	0	0	0	4	13	1	2	0	5	5	7	1	4	4	0	0	0	0	0	0	0	0	0	0	0	16	20	20	16	0
2019/02/03	2	2	0	0	2	0	0	0	2	0	0	0	0	0	0	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	4	2	4	4	4	0	6	0	0	2	2	6	4	14	0	0	16	16	0	16	20	0	0	16	16	2	18	2	0	0	2	6	4	12	4	0	2	2	2	2	24	6	14	24
2019/02/04	8	0	8	24	2	2	10	2	0	0	0	11	1	2	0	0	8	20	0	10	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	2	0	0	0	2	16	0	0	6	2	0	0	2	4	2	2	6	0	2	6	2	2	0	7	7	6	6	1	1	1	0	4	0	0	1	1	0	12	12	4	4	7	7	1	2	2	2	0	12	6	0	0	6	0	0	12	4	4	4	6	4	8	8	2	0	4	4	4	14	4	0	0	20	6	4	4	0	0	0	0	4	8	4	0	0	0	0	0	0	0	0	2	16	16	16	0	0	0	0	0	0	0	4	5	2	4
